date,ghi,TOA,SZA,mr,GHIcc,GHI,Cloud coverage,GHIAdap,GHIAdap1
2017-09-15 06:00:00,,0.0,141.50759237724876,0.0,0.0,0.0,-1.0,0.0,0.0
2017-09-15 07:00:00,,0.0,128.91546756518332,0.0,0.0,0.0,-1.0,0.0,0.0
2017-09-15 08:00:00,,0.0,115.6268978167812,0.0,0.0,0.0,-1.0,0.0,0.0
2017-09-15 09:00:00,,0.0,102.06566905192892,0.0,0.0,0.0,-1.0,0.0,0.0
2017-09-15 10:00:00,,36.45810157509543,88.45130197927959,17.467165611841693,3.4425108652340635,3.4927,3.933333333333333,3.4927,3.4927
2017-09-15 11:00:00,,350.168213200204,74.95476311143982,3.3019528103498894,209.23324720703528,129.9389,38.05,175.1148695214884,175.1148695214884
2017-09-15 12:00:00,,637.7723901580991,61.78482729413002,1.83511892753836,452.5150148941359,371.2204,48.21666666666667,390.9107439590773,390.9107439590773
2017-09-15 13:00:00,,879.6708830774745,49.2995171103138,1.3334436767196818,667.5094338871558,455.7485,83.28333333333333,466.4597207523901,466.4597207523901
2017-09-15 14:00:00,,1059.3787094220356,38.24942174231565,1.1080166717650934,830.5624318132758,393.0407,100.0,402.1275258074164,402.1275258074164
2017-09-15 15:00:00,,1164.6490778076254,30.30396050077128,1.0081244360156945,927.014766140889,499.5209,100.0,484.19607107252966,484.19607107252966
2017-09-15 16:00:00,,1188.3079865962752,28.24898160630485,0.9881010439608896,948.7722099597452,510.1324,100.0,487.8430717761514,487.8430717761514
2017-09-15 17:00:00,,1128.743120252234,33.20218903237328,1.040110754882141,894.0488881834547,289.0441,100.0,276.83819482407966,276.83819482407966
2017-09-15 18:00:00,,990.013725981252,42.78543658578636,1.185389058851232,767.362413359338,135.3196,100.0,156.29533572261926,156.29533572261926
2017-09-15 19:00:00,,781.5739827417333,54.592699494474566,1.49985990924318,579.5775524637478,42.8798,100.0,110.9708630106228,110.9708630106228
2017-09-15 20:00:00,,517.6287145724881,67.43564045555705,2.255156626549633,348.625902544417,28.1199,100.0,104.20341719285449,104.20341719285449
2017-09-15 21:00:00,,216.16535530907137,80.77890897199964,5.200424912828156,105.89558558897043,11.1445,42.766666666666666,63.12270122007395,11.1445
2017-09-15 22:00:00,,0.0,94.3480337743096,0.0,0.0,0.1573,-1.0,0.1573,0.1573
2017-09-15 23:00:00,,0.0,107.96100812445874,0.0,0.0,0.0,-1.0,0.0,0.0
2017-09-16 00:00:00,,0.0,121.34578699892886,0.0,0.0,0.0,-1.0,0.0,0.0
2017-09-16 01:00:00,,0.0,134.37362275341414,0.0,0.0,0.0,-1.0,0.0,0.0
2017-09-16 02:00:00,,0.0,146.33367024824904,0.0,0.0,0.0,-1.0,0.0,0.0
2017-09-16 03:00:00,,0.0,155.50242463889268,0.0,0.0,0.0,-1.0,0.0,0.0
