date,delta,mak,sza,TOA,GHIcc,GHI,tco3,tcwv,AOD BC,AOD DU,AOD SS,AOD OR,AOD SU,Cloud coverage,GHIera,GHIeracc,msl,ie,hcc,d2m,ghi
2022-01-19 19:00:00,-20.507774526977382,0.8742431679387384,40.899944834717054,1056.739,874.8893,201.2976,254.19329,12.668728333333334,0.001789999999999975,0.0002,0.0,0.022318333333333277,0.016153333333333325,100.0,499.3515625,751.25,101588.27875,-4.9122667375000005e-05,0.9789161625,280.70050125,617.9845379359942
2021-06-19 12:00:00,23.42426561686686,2.421203384933722,74.18145819934824,387.45910000000003,324.3361,234.24720000000002,256.0297733333333,0.7986883333333333,0.0005366666666666499,0.0001,0.0007499999999999751,0.004719999999999975,0.0127683333333333,56.833333333333336,369.91015625,371.109375,102164.20999999999,-5.397887437500001e-07,0.0,252.05406,290.79288025889963
2022-02-02 12:00:00,-17.052092343725047,1.2343460583769295,57.64297999016999,743.3699,589.3027999999999,351.1998,253.1379,13.146343333333334,0.002833333333333325,0.0001,0.0001,0.02373499999999995,0.0257283333333333,100.0,202.859375,637.3984375,101967.6275,-3.5989476875e-05,0.0,278.43575500000003,341.03020496224383
2022-01-05 12:00:00,-22.69589488082858,1.1262388432344554,54.082767699798104,813.8208,658.0795,290.9915,260.40250833333334,11.199766666666667,0.0012,0.001,0.0004,0.0155883333333333,0.027255,98.06666666666666,317.57421875,700.25,101771.11,-1.6621285124999998e-05,0.02843856875,278.22097375,251.37180870190576
2021-12-14 13:00:00,-23.15892481426692,0.8413235774333458,38.237707787865595,1097.8348,925.0596,528.901,257.71177,9.150613333333334,0.0010233333333333249,0.0017349999999999748,0.0002,0.013093333333333325,0.017128333333333273,100.0,691.640625,952.51955,101514.99124999999,-5.8765231249999995e-05,0.9816360375,277.2216575,935.7425386551599
2021-05-03 13:00:00,15.432596053257022,1.2282384174757357,57.46211212180943,743.2577,644.3085,618.6438,244.55425,1.678,0.00148666666666665,0.00049166666666665,0.003685,0.01477666666666665,0.03288999999999995,0.7333333333333333,680.54296875,680.8359375,101583.81875,-1.1425290375e-06,0.0,256.836565,616.0463861920172
2022-03-05 21:00:00,-6.348514071462508,2.2021606931164635,72.55699247057633,402.2145,297.9793,97.332,259.423905,9.948473333333334,0.0011,0.0002,0.0001,0.0157033333333333,0.01380999999999995,70.16666666666667,139.88671875,191.09765625,100776.54000000001,-6.47676645e-07,0.50033569125,272.29733625,332.1323265012585
2021-10-28 18:00:00,-12.862342290550107,0.8137214958331759,35.69735670427318,1124.3875,956.6482,630.4301,267.2902183333333,7.54117,0.0018,0.000863333333333325,0.0002,0.013066666666666626,0.022714999999999975,78.4,690.7734375,838.890625,101568.7025,-8.404516562499999e-06,0.5296058637500001,271.62124875,575.059331175836
2021-06-25 17:00:00,23.424679586459934,1.0349804123874007,50.328431955285204,876.4017,785.1136,785.1136,275.948015,0.8552266666666667,0.0016,0.0008,0.0022,0.014664999999999975,0.029858333333333275,0.0,686.40625,704.09375,100994.875,-2.1884916375e-06,0.6385498025,239.71567125,765.4368932038834
2021-08-19 18:00:00,13.034054821227372,0.9867371002603805,47.96201914538085,919.717,829.5673,829.5674,269.486195,0.7643933333333333,0.0012,0.0004,0.00094,0.006848333333333324,0.03515666666666663,0.0,717.05078125,717.42578125,100808.134375,-1.3890967e-06,0.0,245.32992875000002,795.7065803667745
