date,ghi,sza,TOA,GHIcc,GHI,tco3,tcwv,AOD BC,AOD DU,AOD SS,AOD OR,AOD SU,Cloud coverage,delta,mak,GHIera,GHIeracc,msl,ie,hcc,d2m
2013-01-01 10:00:00,16.132450331125828,79.43695919984835,367.5364,245.85400000000004,46.4552,258.3552933333333,19.72886,0.0021333333333333,0.0002,0.0036,0.02086,0.0214466666666666,100.0,-23.058629169260467,4.470809064921998,35.9375,145.15625,102177.19,-1.8553343e-05,0.0,282.7964
2013-01-01 11:00:00,37.4083885209713,66.60261738536333,517.2528000000001,372.2966666666667,31.4392,258.68181555555554,19.565033333333332,0.0020466666666666333,0.0002,0.0035533333333333333,0.0194733333333333,0.02105777777777773,100.0,-23.058629169260467,2.0670042063700915,122.5,376.65625,102172.375,-4.0184474e-05,0.01965332,283.70996
2013-01-01 12:00:00,77.24061810154525,53.45246092926175,832.6885,647.7493999999999,155.7166,259.04537500000004,19.22925,0.0019,0.000248333333333325,0.003309999999999975,0.0174766666666666,0.021264999999999975,100.0,-23.058629169260467,1.378992675678137,145.9375,613.78125,102287.25,-5.4345e-05,0.069000244,284.28052
2013-01-01 13:00:00,451.5393671817513,40.097588664843755,1098.5406666666668,884.9863999999999,292.9646666666667,258.94502,18.934466666666665,0.0018022222222221999,0.0003,0.0029822222222222,0.0168933333333333,0.022822222222222164,100.0,-23.058629169260467,1.073711451784898,312.8125,825.46875,102370.125,-2.472708e-05,0.029846191,284.78638
2013-01-01 14:00:00,227.44812362030902,26.628105870030723,1253.339,1024.8862,362.8498,258.86696666666666,18.705216666666665,0.001795,0.0003,0.00272166666666665,0.016439999999999948,0.024028333333333297,100.0,-23.058629169260467,0.9188756031552532,296.375,990.125,102414.81,-1.0322081e-05,0.012023926,284.02856
2013-01-01 15:00:00,267.28476821192055,13.180314331902485,1366.3268,1127.4316,560.4555,258.45091333333335,18.562245,0.001765,0.00033666666666665,0.0026,0.0162,0.026266666666666626,98.13333333333333,-23.058629169260467,0.8436790320217814,395.84375,1092.6875,102421.44,-7.982366e-06,0.2084961,281.69897
2013-01-01 16:00:00,676.4091243561442,2.939791117774667,1402.9904,1160.6755999999998,798.8404,257.6151466666667,18.535346666666666,0.0018000000000000002,0.0004,0.0025266666666666666,0.0162,0.029744444444444396,92.91111111111111,-23.058629169260467,0.8225484688673104,306.3125,1124.5312,102367.81,-8.139759e-06,0.40649414,280.49
2013-01-01 17:00:00,351.40618101545255,14.690685492011735,1359.6295,1121.1983,581.0815,256.9651083333333,18.514425,0.0018,0.000495,0.0025,0.016273333333333324,0.032443333333333275,94.31666666666666,-23.058629169260467,0.8492129126309585,252.40625,1085.0312,102286.31,-2.8337585e-05,0.48815918,279.884
2013-01-01 18:00:00,150.40949227373065,28.15546462334044,1240.3881000000001,1013.0435,278.2341,256.4137,18.445246666666666,0.0018700000000000001,0.0005416666666666499,0.002639999999999975,0.0172833333333333,0.03456166666666662,100.0,-23.058629169260467,0.9316495414657838,360.71875,984.53125,102188.0,-1.2132805e-05,0.23815918,279.47937
2013-01-01 19:00:00,87.69757174392936,41.61669467462646,1054.719,845.4110000000001,135.461,256.0538,18.330779999999997,0.00206999999999995,0.0006,0.0028733333333333,0.019283333333333298,0.0357033333333333,100.0,-23.058629169260467,1.0986035196854012,158.6875,817.25,102064.31,-1.1031283e-05,0.17965698,279.33954
2013-01-01 20:00:00,55.44701986754967,54.95303505530935,810.152,626.9582,47.1359,255.69387,18.216325,0.00227,0.000664999999999975,0.003113333333333325,0.0212833333333333,0.0368483333333333,100.0,-23.058629169260467,1.4299567036006813,135.5,603.65625,101967.56,-7.918803e-06,0.10897827,279.1262
2013-01-01 21:00:00,179.5695364238411,68.07369299280208,529.076,382.7376,32.262,255.6329166666667,17.791393333333332,0.0021466666666665997,0.0006,0.0028433333333333,0.0198566666666666,0.0321866666666666,100.0,-23.058629169260467,2.1979692674905493,150.34375,363.0,102083.25,-7.6016877e-06,0.029846191,278.67822
2013-01-02 10:00:00,61.44812362030904,79.5631111471661,288.29,193.536,20.0232,258.70717333333334,12.934386666666668,0.0009,0.0001,0.0009,0.0082,0.0058533333333333,100.0,-22.979341669118796,4.524086273877687,119.8125,145.96875,101994.75,-5.489448e-06,0.14764404,279.48682
2013-01-02 11:00:00,140.65930831493745,66.72606458342271,587.6818666666667,448.8508,139.7532,259.09826444444445,12.61312,0.0009000000000000001,0.0001,0.0009000000000000001,0.007979999999999966,0.006459999999999967,100.0,-22.979341669118796,2.0773397079669023,332.9375,386.59375,101931.0,-1.14664435e-05,0.08850098,279.2622
2013-01-02 12:00:00,303.55261221486387,53.5732412615324,797.7754666666666,634.5774666666666,226.4664,259.1698933333333,12.497797777777777,0.0009000000000000001,0.0001,0.0009000000000000001,0.008175555555555533,0.007606666666666633,100.0,-22.979341669118796,1.3829251993780642,530.34375,631.65625,101822.0,-2.0295847e-05,0.01965332,279.70947
2013-01-02 13:00:00,698.7490802060338,40.21608696960198,1096.6401333333333,902.8558666666667,445.394,258.91980222222224,12.514966666666668,0.001,0.0002,0.001,0.009091111111111065,0.010671111111111098,100.0,-22.979341669118796,1.0755855304275432,680.25,848.3125,101708.625,-2.8328039e-05,0.01965332,280.0205
2013-01-02 14:00:00,899.3966151582044,26.745432348330485,1271.4565333333333,1061.4816,666.6070666666667,258.7197288888889,12.528704444444443,0.001,0.0002,0.0010133333333333333,0.0098266666666666,0.013124444444444433,71.82222222222222,-22.979341669118796,0.919821344523244,993.46875,1017.125,101595.75,-3.3908524e-05,0.0,279.64233
