date,sza,argp2,delta,mak,TOA,GHIcc,GHI,tco3,tcwv,AOD BC,AOD DU,AOD SS,AOD OR,AOD SU,Cloud coverage,GHIera,GHIeracc,msl,ie,hcc,d2m,ghi
2016-02-24 16:00:00,14.67660189747271,1172.951723360647,-9.804182571549793,0.68319174188995,1340.1954,1115.7752,855.4978,244.53246833333333,21.71117,0.00191166666666665,0.00092666666666665,0.0008,0.019498333333333274,0.014403333333333325,71.33333333333333,870.12109375,1066.6172000000001,101663.34375,-0.000123679665,0.6785850375,287.161345,1056.7408333333333
2016-04-03 11:00:00,77.90161908129522,228.0018338267146,5.2979818661982065,3.147198606618867,322.61280000000005,226.4464,76.8472,238.63378444444447,12.100195555555553,0.002828888888888867,0.0003,0.0019244444444444335,0.020948888888888833,0.030157777777777766,87.42222222222222,219.328125,301.0625,101688.125,-4.03421e-05,0.226303103,276.366395,202.16799999999998
2016-05-03 12:00:00,68.84783935131408,370.01559279415045,15.629168539196789,1.8298820113910892,477.8223,355.577,148.1115,247.70980666666665,10.119806666666667,0.00746499999999995,0.0001,0.0032,0.04932499999999997,0.046259999999999954,86.8,274.671875,413.6484375,102361.46875,-2.875909625e-05,0.0,269.35171249999996,360.781
2016-01-19 15:00:00,15.061697028253294,1184.044246918123,-20.517823019645498,0.6844113117610399,1353.4785,1147.4078,972.142,244.95137333333332,13.207938333333333,0.002525,0.0002,0.0015266666666666501,0.022869999999999977,0.008613333333333275,22.366666666666667,1126.7617,1138.3789375000001,102102.8275,-0.0001677644925,0.067226410625,280.09885,1142.8573333333334
2016-08-12 15:00:00,41.98263709757172,839.2195257191468,15.09544823882467,0.8889417074327939,989.2722,838.8757,838.8757,269.39309000000003,6.781953333333334,0.003029999999999975,0.0001,0.0015,0.01675999999999995,0.033676666666666646,0.0,836.1171875,833.59375,101856.7975,-4.5756635125e-05,0.0,264.31442375,859.0381666666667
2016-12-14 15:00:00,10.981078714599969,1206.1241406782574,-23.162079714106223,0.6732322248538923,1375.876,1155.5223,399.5792,247.81715,15.721841666666666,0.005456666666666625,0.00087,0.0018933333333333,0.03789666666666665,0.032766666666666625,100.0,774.15234375,1132.7070125,102392.68062500001,-0.00010421345375,0.28941726875,280.2899175,1170.757833333333
2016-10-03 14:00:00,32.0685719275087,995.856596073219,-3.737204923589653,0.7798430593633128,1155.0774999999999,968.3882,565.3004999999999,263.494935,11.189773333333333,0.007,0.0002,0.0014,0.04225833333333327,0.026534999999999927,41.75,615.70703125,965.94921875,102024.4625,-7.92191125e-05,0.00640869125,273.91803625,965.6345
2016-05-16 15:00:00,45.07047230381588,794.108227539469,19.058548591111034,0.9356191826906297,933.3731,785.6544,493.82460000000003,255.11780166666665,7.643298333333333,0.0018,0.0001,0.003369999999999975,0.012239999999999949,0.03484999999999995,100.0,560.7890625,758.94140625,101807.40375,-4.5179884125e-05,0.05220794675,270.24738125,832.4316666666666
2016-09-30 14:00:00,33.04106335855535,982.3540088753623,-2.575768060804777,0.7883343615547557,1141.0095,971.0345,971.0345,259.51185,6.184944999999999,0.00843166666666665,0.0001,0.0016,0.057676666666666626,0.020548333333333325,0.0,961.90625,996.7695125,101366.78812499999,-9.7425569e-05,0.18366241375,261.13823625000003,995.5545
2016-04-20 14:00:00,45.090729889539325,803.4383115685152,11.481632651780732,0.9359507289890302,945.5136,771.6094,671.9182000000001,239.99621333333334,12.582383333333333,0.00633999999999995,0.000823333333333325,0.0022,0.0535333333333333,0.056033333333333275,31.116666666666667,634.9082187500001,779.35546875,100995.671875,-7.166954875e-05,0.0,274.8587675,766.1701666666667
2016-02-13 17:00:00,16.409937228229996,1168.3443770723256,-13.667605170319925,0.688961878256592,1335.3633,1099.0232,776.8432,247.89818166666666,24.517358333333334,0.0034850000000000003,0.00254666666666665,0.00163666666666665,0.04016999999999995,0.07286499999999997,77.93333333333334,741.71484375,1033.33984375,101324.234375,-0.000105934975,0.7009620750000001,287.70840499999997,1178.6021666666668
2016-07-01 13:00:00,63.99484167196624,457.25505981135746,23.145294035184396,1.5063743670448106,575.3584000000001,463.7659,443.2431,243.44786,5.793365,0.0015,0.00037,0.003448333333333325,0.011683333333333299,0.0423933333333333,13.016666666666667,442.89453125,506.3671875,101838.89749999999,-2.126061e-05,0.25745010625,254.53933,470.7356666666667
2016-08-08 15:00:00,43.12048153219181,821.1826028091393,16.256478148379323,0.90528551263006,969.8629,812.6425,812.6425,270.82286,6.559918333333333,0.007611666666666625,0.0002,0.0017,0.04904499999999998,0.06548999999999995,0.0,722.21484375,810.75390625,101754.890625,-3.982434375e-05,0.0,260.71644375,851.1485
