date,ghi,TOA,SZA,mr,GHIcc,GHI,Cloud coverage,GHIAdap,GHIAdap1,GHIl,GHIera,GHImerra
2013-07-17 17:00:00,609.1818181818181,873.1005015660111,48.50105785321167,1.312405570574959,664.4949733717772,698.8819,0.0,638.8880931837889,638.8880931837889,702.275,725.125,723.75
2013-08-18 12:00:00,322.09090909090907,477.3363143479883,68.97206390489411,2.40891030759463,315.63783776443046,317.7071,1.5,309.724008914638,309.724008914638,338.65,118.5,401.25
2013-01-05 19:00:00,438.3,1046.3021764814318,41.90069288392899,1.1688810811193158,812.9546687498912,448.1142,97.98333333333332,461.3455684080943,461.3455684080943,706.72501,594.6875,723.5
2013-06-07 17:00:00,577.7272727272727,842.2026740335441,50.355558463868405,1.3627361080159712,636.4550278690127,604.5926999999999,57.86666666666667,577.3785088565616,577.3785088565616,658.82502,658.21875,604.0
2013-09-24 19:00:00,562.8888888888889,807.805394392374,53.42905868326186,1.4587353635886269,602.4003959233793,626.5834,17.833333333333332,580.5155730779203,580.5155730779203,643.2,783.65625,703.0
2013-09-19 11:00:00,266.44444444444446,374.2690047533466,73.92885152158335,3.1028698142382805,228.59433535094152,153.5582,48.833333333333336,193.7776086663712,193.7776086663712,233.45001,35.3125,258.875
2013-10-20 12:00:00,597.2,822.3960053169988,53.284640985080976,1.4538287390967772,613.6936800561615,645.9048,0.0,594.2456820092865,594.2456820092865,627.25001,380.34375,630.5
2013-08-14 17:00:00,734.5454545454545,982.9626917873396,42.257834300467536,1.1754556845597044,763.0052809838023,800.5663999999999,0.0,724.6757598046031,724.6757598046031,795.60001,720.21875,833.0
2013-09-24 14:00:00,877.6666666666666,1109.0853816078732,35.11148578417872,1.0638342707751636,875.3224855334137,923.0335,0.0,825.0178857714508,825.0178857714508,898.2249999999999,724.03125,938.75
2013-05-20 19:00:00,373.0,570.30535356914,64.55892333304882,2.017551450912711,395.4418142253117,405.2445,10.166666666666666,389.67749480545086,389.67749480545086,438.2333333333333,550.65625,467.75
2013-08-01 20:00:00,92.9090909090909,389.3749124907493,72.87218271257538,2.921969789848518,242.67911926857684,91.0758,85.68333333333334,135.2442437802956,135.2442437802956,207.8750025,346.84375,255.0625
2013-10-10 16:00:00,887.3333333333334,1292.7524791404126,19.106696146962754,0.9213116014331204,1043.005780280097,842.2537,76.11666666666666,794.8851290349799,794.8851290349799,895.175,984.71875,1071.5
2013-04-23 14:00:00,689.8181818181819,939.1479676513942,45.69543182115579,1.2452893342628368,721.6413075798944,759.508,0.0,689.7478597039178,689.7478597039178,743.475,572.6875,784.75
2013-02-21 16:00:00,936.3,1348.1284048593488,13.9485498879229,0.897063403034525,1091.8834448872403,872.1275,68.03333333333333,828.2499304829435,828.2499304829435,882.50001,839.5,875.5
2013-03-06 20:00:00,132.36363636363637,700.310928057158,59.51937383187371,1.71152891444221,504.8862015431489,128.7344,100.0,192.22607581072705,192.22607581072705,286.125005,487.53125,485.625
2013-07-05 17:00:00,266.72727272727275,844.5756848319966,50.08184566755958,1.3549772907889224,638.942246150287,529.2835,100.0,496.90048284462296,496.90048284462296,545.6,649.9219,680.25
2013-02-09 12:00:00,512.5454545454545,736.123027288636,58.16804543344411,1.6465474042033543,535.2529742203944,532.9982,14.016666666666667,509.623846717953,509.623846717953,509.2,234.5,475.75
2013-03-01 15:00:00,963.7272727272727,1275.5322311683226,22.836034554488418,0.9445421326591928,1025.3512627544717,996.0054,0.55,939.0594078960733,939.0594078960733,902.10001,764.625,1081.5
2013-11-18 10:00:00,193.5555555555556,309.87195905953104,77.15794468240216,3.831483561201844,174.89432363980535,121.6097,24.816666666666663,150.78545599454168,150.78545599454168,142.10000000000002,16.3125,158.125
2013-10-07 18:00:00,660.6,1061.4755790186305,38.99787409949325,1.1196062329449317,830.7705186565959,567.8377,60.5,600.6977647503459,600.6977647503459,731.6,946.9375,895.25
2013-09-07 15:00:00,677.6363636363636,1121.4100983633034,33.39316210918064,1.0423843274698972,887.9332787228917,753.5818,71.95,712.5845543576573,712.5845543576573,781.3333466666667,793.6875,928.0
2013-04-19 16:00:00,776.3,1094.3676551657795,35.693163988500146,1.0715167546416984,862.7054639164943,869.2914999999999,14.833333333333334,797.5332303349513,797.5332303349513,869.7750100000001,807.6875,899.5
2013-04-02 21:00:00,16.545454545454547,250.4860441265593,79.38993419199367,4.575029490396584,130.81283811197932,13.2964,89.78333333333333,55.12814572916682,55.12814572916682,0.0,162.59375,127.5
2013-02-26 21:00:00,18.90909090909091,438.8315782862353,71.54114292554137,2.7228779736662188,279.7594027794275,25.589,100.0,90.64899018177124,90.64899018177124,0.0,135.5,165.1875
2013-05-15 14:00:00,238.27272727272728,842.4253451174453,50.708378398465,1.372915265192627,635.7181998216985,269.04380000000003,100.0,304.0389395677922,304.0389395677922,334.9,259.59375,609.0
2013-02-20 20:00:00,240.0,758.4213017975326,56.924118657948895,1.591674492620837,555.4987766967819,41.5402,100.0,116.87255599365687,116.87255599365687,168.17500625,266.8125,435.375
2013-11-09 11:00:00,407.77777777777777,601.5207228347205,64.3398347126234,2.0016713677047964,417.9119401954211,435.8314,0.0,411.310757257799,411.310757257799,411.725005,178.75,408.5
2013-09-06 15:00:00,762.0909090909091,1115.911890302766,33.77187749293632,1.0469569334415756,882.9657230841216,848.8829000000001,18.0,803.477533386856,803.477533386856,876.35,793.375,937.25
2013-04-02 14:00:00,146.72727272727272,1032.073370477559,40.65527763281316,1.146859861943297,804.5028012992211,286.0733,100.0,304.6825803519555,304.6825803519555,407.55002,316.78125,876.25
2013-10-21 12:00:00,119.1,826.2513744645981,53.106849313390846,1.4478457080981904,617.0772206632314,64.959,100.0,128.5502431241689,128.5502431241689,300.86668000000003,195.71875,612.0
2013-10-29 20:00:00,339.22222222222223,625.8229265659102,63.07384896316116,1.9150843774926287,439.5465591454071,183.6662,100.0,222.64293365712587,222.64293365712587,393.500005,566.9375,502.75
2013-11-10 13:00:00,671.3333333333334,1108.6321434194135,37.083647150289714,1.090798955070903,871.4194648636837,515.6079000000001,56.48333333333333,575.95468214884,575.95468214884,567.55001,668.0,894.25
2013-12-01 16:00:00,1042.888888888889,1393.9965033379135,5.332553959814418,0.8744612621074709,1133.1328651237743,1105.9522,39.833333333333336,996.4440528679148,996.4440528679148,1113.6,708.40625,1188.0
2013-07-14 12:00:00,253.45454545454547,361.89385645148616,74.05223317019681,3.125505852506074,220.4816935380366,244.1881,0.75,217.02635505994823,217.02635505994823,242.925,51.625,298.25
2013-02-10 17:00:00,680.9090909090909,1339.3700171224173,16.2611022035726,0.9068674015319884,1083.0964376100308,867.8102,60.91666666666666,835.656068957687,835.656068957687,991.45,1046.5625,903.75
2013-02-16 19:00:00,709.0,1021.6736779964144,42.78040758300892,1.1852931111737872,791.9132336565671,792.8171,4.616666666666666,735.4295529314694,735.4295529314694,804.225,922.75,722.75
2013-04-12 13:00:00,73.8,803.8856810325545,53.539642746792914,1.4625211044831328,599.16657879138,50.1707,100.0,115.16557171130182,115.16557171130182,253.1500025,189.34375,639.25
2013-02-24 12:00:00,378.6363636363636,694.214014623652,59.971728228377536,1.734654369550238,498.9847350514983,323.5112,62.583333333333336,361.63950494895926,361.63950494895926,427.075,217.125,571.25
2013-05-03 13:00:00,475.9,720.1805105588021,57.42591938367949,1.6132757010784449,525.9743783323976,436.0571,55.75,443.0271355955812,443.0271355955812,470.400005,328.84375,461.875
2013-03-01 17:00:00,835.0,1288.3258635166617,21.430237407058105,0.9351834436300752,1037.1606266696356,831.2258,35.43333333333333,832.0485508639715,832.0485508639715,925.37501,805.71875,1052.5
2013-07-14 16:00:00,642.5,905.8590814293711,46.54726175987674,1.2646145987805897,694.1338582033891,740.4349,0.0,669.5279736513871,669.5279736513871,726.125,689.8125,767.25
2013-07-16 19:00:00,380.9,576.6884113443041,64.0414259356134,1.98048239940304,401.72116131292216,419.4743,0.0,397.289830632075,397.289830632075,439.325005,491.90625,439.375
2013-10-13 11:00:00,139.55555555555554,508.33044882906273,68.22667249110293,2.331603111479312,339.2370884189898,30.3156,74.75,133.55444071391167,133.55444071391167,172.600005,55.0625,293.75
2013-11-17 15:00:00,1065.3,1370.7306335914327,10.401851705226232,0.8851889393431557,1112.3008158042585,1090.9594,64.35,964.7658426597272,964.7658426597272,1116.125,1023.71875,1156.5
2013-08-05 20:00:00,243.9090909090909,401.4990698918398,72.34420244527072,2.839482686628381,252.5791776179931,276.9801,0.0,250.14391779896235,250.14391779896235,300.54999999999995,482.6875,285.75
2013-02-27 20:00:00,162.45454545454547,731.7926961074265,58.11299362729791,1.6440230013814623,532.2817869631209,39.9291,100.0,118.67348007835528,118.67348007835528,141.5250025,445.0,347.75
2013-08-25 17:00:00,320.90909090909093,1034.0684956308949,39.20353584782537,1.1228669833545073,808.9278915178396,732.5120000000001,91.75,665.7940719377615,665.7940719377615,472.82501,669.53125,876.0
