date,ghi,delta,mak,sza,TOA,GHIcc,GHI,tco3,tcwv,AOD BC,AOD DU,AOD SS,AOD OR,AOD SU,Cloud coverage,GHIera,GHIeracc,msl,ie,hcc,d2m,GHIl,GHImerra
2021-05-02 12:00:00,398.32254584681766,15.1330201628331,1.8101159494240888,68.60521725303792,509.0407,437.7711000000001,331.3261,245.090245,0.6675733333333334,0.00083,0.0005,0.0017783333333333,0.0078433333333333,0.01662,100.0,484.30078125,485.4296875,101971.7725,-1.7777201875e-06,0.8755302375,258.85999000000004,387.25,408.625
2021-05-02 13:00:00,599.848975188781,15.1330201628331,1.2221129425364787,57.278528236367485,747.0375,663.9967,529.0292999999999,245.388775,0.7738066666666666,0.00092,0.0005,0.0019716666666666,0.0088883333333332,0.0180583333333333,100.0,686.46875,687.1796875,101793.63125,-1.1082738375e-06,0.623523705,250.66648875,611.9250099999999,630.0
2021-05-02 14:00:00,782.8694714131607,15.1330201628331,0.9830539508140674,47.768028325814655,924.8639,833.4827,718.1446,245.6873033333333,0.8800383333333333,0.0010116666666666,0.000585,0.0021616666666666,0.0099333333333333,0.0194966666666666,100.0,829.70703125,830.0859375,101591.24125,-1.330859925e-06,0.1768608075,244.935685,784.37502,798.5
2021-05-02 15:00:00,894.4264653002517,15.1330201628331,0.8804056127644321,41.36110495294997,1030.4005,933.9113,877.7348000000001,245.49567833333333,0.9759,0.0010383333333333,0.0006,0.0022933333333333,0.0102833333333333,0.0200266666666666,52.48333333333333,901.7265625,902.0078125,101365.990625,-1.6140693125e-06,0.1966133099999999,242.12814125,892.25001,901.5
2021-05-02 16:00:00,924.415677813736,15.1330201628331,0.8576487858421982,39.60218496591574,1056.4555,957.8227,927.7472,244.81389666666664,1.0614,0.001,0.0005316666666666,0.0022,0.0099466666666666,0.0196499999999999,21.65,896.7578125,897.0390625,101185.350625,-1.7143611625e-06,0.1675987249999999,241.84938,921.47501,928.5
2021-05-02 17:00:00,875.3505933117583,15.1330201628331,0.9044867337729756,43.06638267341349,1001.2585,903.1036,894.2821,244.132115,1.146895,0.001,0.0005,0.0022,0.0096049999999999,0.0192716666666666,2.2,814.56640625,814.859375,101035.59125,-1.5207915875e-06,0.0,242.60834875,872.72501,879.5
2021-05-02 18:00:00,734.8705501618123,15.1330201628331,1.0429512618687695,50.69095276008207,868.5796,774.0104,774.0103,243.694985,1.2345766666666669,0.001,0.0005,0.0021233333333333,0.0092699999999999,0.0188366666666666,0.0,662.5234375,662.8125,100925.17125,-1.0600852e-06,0.0,243.01456375,750.97501,756.75
2021-05-02 20:00:00,307.9953254225099,15.1330201628331,2.216001720030365,72.66959537461719,411.6464,338.6644,300.7126,243.31002333333333,1.4142966666666663,0.0009,0.0005,0.0017199999999999,0.0086266666666666,0.0178533333333333,20.71666666666667,221.421875,221.7265625,100947.7975,-2.4857763375000004e-07,0.0,245.45324375,331.875005,339.375
2021-05-03 12:00:00,400.5879180151025,15.432596053257022,1.8219378327759868,68.75100776581641,505.8149,419.7788000000001,410.7457,244.92025,1.642,0.00154,0.0006483333333333,0.003015,0.0149666666666666,0.0341616666666666,0.2666666666666667,480.078125,480.22265625,101746.96,-1.1870288375e-06,0.0,264.60015500000003,380.2,400.75
2021-05-03 13:00:00,616.0463861920172,15.432596053257022,1.2282384174757357,57.46211212180943,743.2577,644.3085,618.6438,244.55425,1.678,0.0014866666666666,0.0004916666666666,0.003685,0.0147766666666666,0.0328899999999999,0.7333333333333333,680.54296875,680.8359375,101583.81875,-1.1425290375e-06,0.0,256.836565,601.35,623.0
