date,sza,argp2,ghi,delta,mak,TOA,GHIcc,GHI,tco3,tcwv,AOD BC,AOD DU,AOD SS,AOD OR,AOD SU,Cloud coverage,GHIera,GHIeracc,msl,ie,hcc,d2m,GHIl,GHImerra
2016-01-01 11:00:00,66.87015700377341,430.6397694652498,188.8996666666667,-23.058629169260467,1.681149098402059,549.7819,411.4669,284.7274,255.30329666666665,15.171585,0.0036733333333333,0.0005,0.0028249999999999,0.0298,0.0520149999999999,100.0,271.3359375,477.2734375,101679.084375,-4.373074625e-05,0.940624235,279.54781125,387.675005,301.875
2016-01-01 12:00:00,53.60004203927998,690.9501366777884,512.0483333333334,-23.058629169260467,1.1133400539127052,831.5878,662.705,419.3361,255.64744666666667,15.020013333333331,0.0036,0.0005116666666666,0.0027,0.0289983333333333,0.0518949999999999,100.0,450.97265625,713.40625,101607.131875,-8.098606375e-05,0.90847015,279.13528125000005,571.725,543.5
2016-01-01 13:00:00,40.12827686920564,917.1673213270684,874.2868333333334,-23.058629169260467,0.8642460368805988,1072.2584,880.9161,486.3968,255.74009333333333,14.890263333333332,0.0036,0.0006,0.0026633333333333,0.0285233333333333,0.0523766666666666,84.78333333333333,704.08203125,914.9296875,101503.8275,-0.00011361666625,0.84023665,279.00941,753.575,794.25
2016-01-01 14:00:00,26.52936763287636,1090.791587847893,1063.237,-23.058629169260467,0.7386462230849017,1255.3944,1048.553,601.7652,255.8327383333333,14.76051,0.0035216666666666,0.0006,0.0026,0.0280533333333332,0.0528583333333333,48.516666666666666,934.05078125,1062.6523625,101410.36,-0.00012853331125,0.724418625,279.28458625,963.77501,970.25
2016-01-01 15:00:00,12.87502368617097,1198.5151695446425,1165.757,-23.058629169260467,0.6779475655097652,1368.514,1151.9573,709.0334,255.5221983333333,14.86167,0.0035,0.0006,0.0026166666666666,0.0283483333333332,0.0542716666666666,47.6,982.44140625,1139.777375,101394.4125,-0.00012533058125,0.6657485875,280.0462825,1105.70005,1033.5
2016-01-01 16:00:00,1.6210851522758067,1232.2820677600732,1190.838,-23.058629169260467,0.6611769115508824,1403.9039,1183.4162,755.5471,254.808465,15.193755,0.0035,0.0006283333333333,0.0027066666666666,0.0294149999999999,0.0566199999999999,88.64999999999999,868.27734375,1141.5,101417.3125,-0.0001157596137499,0.8180007875,281.99929375,1012.775,999.75
2016-01-01 17:00:00,14.705472216329902,1189.5897864619878,1041.5163333333333,-23.058629169260467,0.6832819522927915,1359.146,1141.1998,563.3249,254.09474333333333,15.525836666666669,0.0034033333333333,0.0007,0.0028,0.0304816666666666,0.0589666666666666,96.7,759.05859375,1074.00390625,101412.44625,-0.0001130274325,0.87010191875,283.75969375,732.9000100000001,889.25
2016-01-01 19:00:00,41.94394574709622,893.014638417346,884.0036666666667,-23.058629169260467,0.8884024357207088,1046.6136,852.7954,298.2389,253.38253333333333,16.653058333333334,0.0034,0.0008,0.002935,0.0326933333333332,0.0653299999999999,100.0,546.2578125,751.015625,101320.93125,-5.2815273875e-05,0.85768127375,283.1398325,549.27502,525.25
2016-01-01 20:00:00,55.393416910724994,661.7281404467607,632.3273333333333,-23.058629169260467,1.1632434368797953,800.1211,628.9412,133.6746,253.14563666666663,17.29384,0.0034,0.0008033333333333,0.003,0.0338149999999999,0.0687916666666666,100.0,342.87890625,518.4140625,101340.21875,-3.1665986250000006e-05,0.8281822175,281.83412,402.525,372.0
2016-01-01 21:00:00,68.62952615191139,398.9161658663696,193.2615,-23.058629169260467,1.8120756313292488,514.5913,371.9048,30.3299,253.05002,17.453916666666668,0.0045949999999999,0.0011399999999999,0.0034999999999999,0.0473833333333333,0.0817633333333333,93.26666666666668,151.1328125,271.28125,101443.078125,-1.48378605e-05,0.8370094287500001,280.75518,241.75,209.1875
2016-01-02 10:00:00,79.96088357034353,225.1378466821002,132.15,-22.979568706424462,3.782091270199536,319.98720000000003,206.618,130.7802,258.0797633333333,14.8816,0.0058,0.002,0.0031,0.0590133333333332,0.0669966666666666,100.0,231.73046875,300.12890625,101692.04,-3.9761508875e-05,0.8961029062500001,278.26427,123.80000125,139.875
2016-01-02 11:00:00,66.99207874536565,428.1284792876045,300.424,-22.979568706424462,1.6895586904090711,546.8867,401.8031,271.868,258.41764166666667,14.695621666666668,0.0056783333333333,0.002,0.0030266666666666,0.0570066666666666,0.0665099999999999,100.0,394.5625,486.09375,101644.15625,-6.1178144375e-05,0.882404325,278.3189,354.000005,379.625
2016-01-02 13:00:00,40.2441860102997,915.4167494669103,862.2056666666666,-22.979568706424462,0.8657230595155938,1070.3399,872.9551,726.7591,258.64337333333333,14.715393333333331,0.0054716666666666,0.002,0.003,0.0528466666666666,0.0698766666666666,100.0,802.41796875,920.3359375,101560.265,-9.89576225e-05,0.98255158625,279.05951375,821.0250100000001,826.25
2016-01-02 14:00:00,26.64291420997148,1089.5857937202736,1008.0365,-22.979568706424462,0.7393787420659256,1254.1,1041.1045,838.5015999999999,258.6436966666667,14.811241666666668,0.00538,0.002,0.0030333333333333,0.0509666666666666,0.0723349999999999,100.0,892.546875,1061.78908125,101589.0475,-0.00010451866625,0.97159958125,278.8735,974.77503,976.25
2016-01-02 15:00:00,12.98863648394746,1197.897280068793,1066.4735,-22.979568706424462,0.6782561408032425,1367.8784,1144.2867,780.0381,258.132195,15.23815,0.005275,0.002075,0.0032016666666666,0.0514016666666666,0.0796466666666666,100.0,882.28515625,1136.6055,101633.42125,-0.0001107935375,0.936702735,280.4706675,958.725,1007.5
2016-01-02 16:00:00,1.6333915060544053,1232.2497346378914,1001.957,-22.979568706424462,0.6611809428743899,1403.916,1174.8449,587.477,257.10887,15.99615,0.0051683333333333,0.00214,0.0034849999999999,0.0541533333333332,0.0918033333333333,100.0,827.10546875,1139.9883,101632.8775,-0.000120970013125,0.92226791,282.36435,700.10001,1012.5
2016-01-02 18:00:00,28.26939229571312,1074.5648888813523,393.6716666666666,-22.979568706424462,0.750359790275344,1238.3843,1018.5584,322.6361,255.18506833333333,17.311783333333334,0.0049466666666666,0.0023,0.0039633333333333,0.0578699999999999,0.1124633333333333,100.0,587.64453125,938.671875,101565.05625,-8.4815578125e-05,0.95001984125,284.145265,505.450005,718.5
2016-01-02 20:00:00,55.31401818272311,663.2074589724011,738.5803333333333,-22.979568706424462,1.160915216564926,801.797,620.5885000000001,44.1024,253.629825,18.02641333333333,0.0046916666666666,0.0023,0.0042049999999999,0.0562116666666666,0.1221666666666666,100.0,311.44921875,515.9375,101580.274375,-3.6793091625e-05,0.97943114375,283.040255,271.10001,285.125
2016-01-02 21:00:00,68.55708420851015,400.40605887537134,261.224,-22.979568706424462,1.8062490992743,516.3074,362.518,28.7895,253.8039283333333,18.12154333333333,0.0055299999999999,0.0027666666666666,0.0048749999999999,0.07075,0.1436033333333332,93.26666666666668,174.25,270.05078125,101607.775,-1.6486796325e-05,0.9778938125,281.2408875,84.62500125,140.5625
2016-01-03 11:00:00,67.11551507865391,425.5805995186556,89.45400000000001,-22.89292526081853,1.6981667595257977,543.9532,378.4364,33.1057,258.47825,17.58953833333333,0.007,0.0042,0.0097516666666666,0.0943516666666666,0.1838166666666666,100.0,415.40234375,476.8984375,101636.89,-6.6590088125e-05,0.966835025,278.7924975,192.725,333.625
2016-01-03 13:00:00,40.360790993067205,913.6429363216648,541.3766666666667,-22.89292526081853,0.8672176369712904,1068.3977,857.1201,400.1072,258.43315,16.479971666666668,0.0067899999999999,0.0039883333333333,0.0079633333333333,0.0814533333333332,0.1509516666666666,100.0,756.48828125,906.5234375,101537.3375,-0.0001066772074999,0.9612655625,278.972225,518.45,828.25
2016-01-03 14:00:00,26.756937615403302,1088.3599339969076,993.304,-22.89292526081853,0.7401187270044355,1252.7844,1029.7897,851.1578,258.2865933333333,15.875695,0.0066599999999999,0.00383,0.0068383333333333,0.0742916666666666,0.1313449999999999,93.33333333333331,843.52734375,1049.0,101474.1025,-0.00012859265375,0.8969077875,280.56253125,926.075,1025.0
