date,ghi,delta,mak,sza,TOA,GHIcc,GHI,tco3,tcwv,AOD BC,AOD DU,AOD SS,AOD OR,AOD SU,Cloud coverage
2017-01-21 13:15:00,767.9806666666666,-20.08592570514902,1.3058792505271357,43.15187398681729,993.9960000000001,754.344,754.344,257.1988,26.9418,0.0091,0.0003,0.0008,0.0596,0.0067,0
2017-01-21 13:30:00,818.4373333333333,-20.08592570514902,1.2387088155220518,39.72400647664765,1051.6200000000001,805.026,805.026,257.1508,26.827,0.0091,0.0003,0.0008,0.059,0.0068,0
2017-01-21 13:45:00,862.8526666666668,-20.08592570514902,1.1820618889898542,36.29158820153423,1105.5539999999999,852.666,852.666,257.1029,26.7123,0.0091,0.0003,0.0008,0.0584,0.0068,0
2017-01-21 14:00:00,904.4173333333332,-20.08592570514902,1.1342196846709214,32.856137681033914,1155.576,897.0120000000001,897.0120000000001,257.055,26.5975,0.009,0.0003,0.0008,0.0579,0.0068,6
2017-01-21 14:15:00,940.3593333333332,-20.08592570514902,1.093862736872706,29.419472190569806,1201.464,937.8299999999999,937.8299999999999,257.007,26.4827,0.009,0.0003,0.0008,0.0573,0.0068,6
2017-01-21 14:30:00,977.0486666666668,-20.08592570514902,1.0599684419618827,25.983945371225325,1243.0259999999998,974.928,974.928,256.9591,26.368,0.0089,0.0003,0.0008,0.0567,0.0069,6
2017-01-21 14:45:00,1009.7786666666668,-20.08592570514902,1.0317396977425708,22.552893595756625,1280.082,1008.108,1008.108,256.9112,26.2532,0.0089,0.0003,0.0008,0.0562,0.0069,4
2017-01-21 15:00:00,1036.2446666666667,-20.08592570514902,1.0085543885093025,19.131550360414117,1312.47,1037.208,1037.208,256.8588,26.1428,0.0089,0.0003,0.0008,0.0556,0.0069,6
2017-01-21 15:15:00,1060.236,-20.08592570514902,0.9899292054885096,15.729127173215108,1340.058,1061.784,1061.784,256.6788,26.16,0.0088,0.0003,0.0008,0.0553,0.0069,6
2017-01-21 15:30:00,1078.5773333333334,-20.08592570514902,0.9754935795535156,12.364237279385774,1362.7259999999999,1082.004,1082.004,256.4988,26.1771,0.0088,0.0003,0.0007,0.0549,0.0069,6
2017-01-21 15:45:00,1086.4426666666666,-20.08592570514902,0.9649709420863131,9.081891923866909,1380.366,1097.7839999999999,1097.7839999999999,256.3187,26.1943,0.0088,0.0003,0.0007,0.0546,0.0069,0
2017-01-21 16:00:00,1102.5273333333332,-20.08592570514902,0.9581654595127861,6.0222187280186965,1392.918,1109.0339999999999,1109.0339999999999,256.1387,26.2114,0.0088,0.0003,0.0007,0.0543,0.0068,0
2017-01-21 16:15:00,1105.8206666666667,-20.08592570514902,0.9549529900875201,3.7763845172528896,1400.322,1115.694,1115.694,255.9587,26.2286,0.0087,0.0003,0.0007,0.054,0.0068,0
2017-01-21 16:30:00,1103.594,-20.08592570514902,0.9552754696397111,4.059032027698846,1402.542,1117.7279999999998,1117.7279999999998,255.7787,26.2457,0.0087,0.0003,0.0007,0.0536,0.0068,0
2017-01-21 16:45:00,1096.4019999999998,-20.08592570514902,0.9591387232877058,6.550556117228127,1399.566,1115.1299999999999,1115.1299999999999,255.5986,26.2629,0.0087,0.0003,0.0007,0.0533,0.0068,0
2017-01-21 17:00:00,1084.81,-20.08592570514902,0.9666126318976674,9.671994235194877,1391.4180000000001,1107.912,1107.912,255.4186,26.28,0.0087,0.0003,0.0007,0.053,0.0067,0
2017-01-21 17:15:00,1076.414,-20.08592570514902,0.9778339320484108,12.975302337321336,1378.1280000000002,1096.116,1096.116,255.2386,26.2972,0.0086,0.0003,0.0007,0.0526,0.0067,0
2017-01-21 17:30:00,1056.0866666666666,-20.08592570514902,0.9930124339810359,16.349236617967613,1359.75,1079.8020000000001,1079.8020000000001,255.0586,26.3143,0.0086,0.0003,0.0007,0.0523,0.0067,0
2017-01-21 17:45:00,1029.7313333333334,-20.08592570514902,1.0124407624599665,19.756113991930736,1336.356,1059.054,1059.054,254.8785,26.3315,0.0086,0.0003,0.0007,0.052,0.0067,0
2017-01-21 18:00:00,1001.7386666666666,-20.08592570514902,1.0365085154886642,23.17976056984744,1308.06,1033.9740000000002,1033.9740000000002,254.7022,26.3508,0.0086,0.0003,0.0007,0.0517,0.0066,0
2017-01-21 18:15:00,970.8066666666668,-20.08592570514902,1.0657221826295762,26.61194779822951,1274.976,1004.4959999999999,1004.4959999999999,254.6331,26.4316,0.0085,0.0003,0.0007,0.0517,0.0066,0
2017-01-21 18:30:00,935.6313333333331,-20.08592570514902,1.1007328193103039,30.047894735225398,1237.248,970.956,970.956,254.5641,26.5124,0.0085,0.0003,0.0007,0.0517,0.0065,0
2017-01-21 18:45:00,899.4773333333334,-20.08592570514902,1.1423744788183972,33.48449378083789,1195.0320000000002,933.528,933.528,254.495,26.5932,0.0085,0.0003,0.0007,0.0517,0.0065,0
2017-01-21 19:00:00,858.9306666666666,-20.08592570514902,1.191717966643134,36.91951439726958,1148.514,892.398,892.398,254.4259,26.6741,0.0085,0.0003,0.0007,0.0517,0.0064,0
2017-01-21 19:15:00,818.0493333333333,-20.08592570514902,1.2501469789226785,40.351207760170276,1097.8860000000002,847.77,847.77,254.3569,26.7549,0.0085,0.0003,0.0007,0.0517,0.0064,0
2017-01-21 19:30:00,790.7386666666666,-20.08592570514902,1.3194677945433826,43.77809322299283,1043.3760000000002,799.8720000000001,799.8720000000001,254.2878,26.8357,0.0085,0.0003,0.0007,0.0517,0.0063,0
2017-01-21 19:45:00,767.2806666666667,-20.08592570514902,1.4020706632661453,47.19883391268092,985.2060000000001,748.962,748.962,254.2187,26.9166,0.0085,0.0003,0.0007,0.0517,0.0062,0
2017-01-21 20:00:00,736.9773333333334,-20.08592570514902,1.501173286455704,50.61215869373163,923.628,695.31,695.31,254.1497,26.9974,0.0085,0.0003,0.0007,0.0517,0.0062,0
2017-01-21 20:15:00,684.7313333333333,-20.08592570514902,1.6211991841134608,54.01680928179876,858.912,639.204,639.204,254.0806,27.0782,0.0084,0.0003,0.0006,0.0517,0.0061,0
2017-01-21 20:30:00,605.096,-20.08592570514902,1.7683865625776731,57.41150128370204,791.328,580.956,580.956,254.0116,27.159,0.0084,0.0003,0.0006,0.0517,0.0061,0
2017-01-21 20:45:00,500.72066666666666,-20.08592570514902,1.9518095747028261,60.79489285961571,721.164,520.908,520.908,253.9425,27.2399,0.0084,0.0003,0.0006,0.0517,0.006,0
2017-01-21 21:00:00,420.7413333333333,-20.08592570514902,2.1851788357952224,64.16555723947984,648.726,459.45,459.45,253.8771,27.3067,0.0084,0.0003,0.0006,0.0517,0.006,0
2017-01-21 21:15:00,355.78333333333336,-20.08592570514902,2.4902154377949555,67.52195667798345,574.3199999999999,397.686,397.686,253.9188,26.9673,0.0083,0.0003,0.0007,0.0501,0.0062,0
2017-01-21 21:30:00,294.19733333333335,-20.08592570514902,2.9034756320488864,70.86241616505102,498.27000000000004,335.304,335.304,253.9604,26.628,0.0083,0.0003,0.0007,0.0485,0.0064,0
2017-01-21 21:45:00,235.89066666666668,-20.08592570514902,3.4915886300593106,74.18509560033532,420.894,272.868,272.868,254.002,26.2887,0.0082,0.0004,0.0008,0.0469,0.0065,-1
2017-01-21 22:00:00,184.18400000000003,-20.08592570514902,4.390135051912983,77.48795933431487,342.528,211.10999999999999,211.10999999999999,254.0437,25.9493,0.0082,0.0004,0.0008,0.0453,0.0067,-1
2017-01-22 10:45:00,58.29733333333333,-19.865473276652246,4.237208940261204,77.02755551337481,272.274,158.976,158.976,255.7604,25.6605,0.0062,0.0005,0.0018,0.0385,0.0082,0
2017-01-22 11:00:00,233.8333333333333,-19.865473276652246,3.3941632158603365,73.71782766772803,351.246,220.062,220.062,255.758,25.6625,0.0061,0.0005,0.0018,0.0385,0.0082,0
2017-01-22 11:15:00,300.33866666666665,-19.865473276652246,2.836124659251684,70.3888252377068,429.522,282.726,282.726,255.7557,25.6644,0.0061,0.0005,0.0018,0.0385,0.0082,0
2017-01-22 11:30:00,361.8113333333333,-19.865473276652246,2.4410050589648256,67.0425448217079,506.77199999999993,346.032,346.032,255.7533,25.6664,0.0061,0.0005,0.0018,0.0386,0.0082,0
2017-01-22 11:45:00,422.85066666666665,-19.865473276652246,2.147768367542991,63.680794975019325,582.66,409.29,409.29,255.7509,25.6684,0.006,0.0005,0.0018,0.0386,0.0082,0
2017-01-22 12:00:00,485.0633333333333,-19.865473276652246,1.9225186187563728,60.305226560552846,656.862,471.906,471.906,255.7409,25.672,0.006,0.0005,0.0018,0.0386,0.0082,0
2017-01-22 12:15:00,545.9746666666666,-19.865473276652246,1.7449324777279813,56.917360786579685,729.06,533.394,533.394,255.5074,25.7233,0.006,0.0005,0.0018,0.0385,0.0081,2
2017-01-22 12:30:00,602.842,-19.865473276652246,1.6020914941588649,53.518616124154974,798.942,593.3399999999999,593.3399999999999,255.2739,25.7747,0.0059,0.0005,0.0018,0.0384,0.0081,0
2017-01-22 12:45:00,671.6846666666667,-19.865473276652246,1.4853980855230504,50.11033555356118,866.2139999999999,651.396,651.396,255.0404,25.826,0.0059,0.0005,0.0018,0.0382,0.0081,0
2017-01-22 13:00:00,713.1373333333333,-19.865473276652246,1.3889149815178021,46.69381608604063,930.588,707.232,707.232,254.8069,25.8773,0.0059,0.0005,0.0018,0.0381,0.0081,4
