,date,swgnt,swfdn
0,2017-01-01 00:30:00,0.0,0.0
1,2017-01-01 01:30:00,0.0,0.0
2,2017-01-01 02:30:00,0.0,0.0
3,2017-01-01 03:30:00,0.0,0.0
4,2017-01-01 04:30:00,0.0,0.0
5,2017-01-01 05:30:00,0.0,0.0
6,2017-01-01 06:30:00,0.0,0.0
7,2017-01-01 07:30:00,0.0,0.0
8,2017-01-01 08:30:00,0.0,0.0
9,2017-01-01 09:30:00,6.9433594,8.96875
10,2017-01-01 10:30:00,140.125,174.0
11,2017-01-01 11:30:00,361.625,432.625
12,2017-01-01 12:30:00,584.0,681.75
13,2017-01-01 13:30:00,779.5,896.25
14,2017-01-01 14:30:00,928.25,1057.0
15,2017-01-01 15:30:00,1018.0,1153.5
16,2017-01-01 16:30:00,1040.0,1176.5
17,2017-01-01 17:30:00,993.25,1126.0
18,2017-01-01 18:30:00,868.5,990.5
19,2017-01-01 19:30:00,671.75,774.25
20,2017-01-01 20:30:00,440.0,515.75
21,2017-01-01 21:30:00,224.625,269.625
22,2017-01-01 22:30:00,54.765625,67.6875
23,2017-01-01 23:30:00,0.20800781,0.25390625
24,2017-01-02 00:30:00,0.0,0.0
25,2017-01-02 01:30:00,0.0,0.0
26,2017-01-02 02:30:00,0.0,0.0
27,2017-01-02 03:30:00,0.0,0.0
28,2017-01-02 04:30:00,0.0,0.0
29,2017-01-02 05:30:00,0.0,0.0
30,2017-01-02 06:30:00,0.0,0.0
31,2017-01-02 07:30:00,0.0,0.0
32,2017-01-02 08:30:00,0.0,0.0
33,2017-01-02 09:30:00,5.2070312,6.6210938
34,2017-01-02 10:30:00,117.28125,144.25
35,2017-01-02 11:30:00,314.625,374.125
36,2017-01-02 12:30:00,531.25,619.25
37,2017-01-02 13:30:00,734.0,844.5
38,2017-01-02 14:30:00,894.0,1018.0
39,2017-01-02 15:30:00,968.0,1096.5
40,2017-01-02 16:30:00,961.0,1087.5
41,2017-01-02 17:30:00,856.75,971.5
42,2017-01-02 18:30:00,694.25,791.75
43,2017-01-02 19:30:00,529.75,610.0
44,2017-01-02 20:30:00,349.25,408.375
45,2017-01-02 21:30:00,173.0625,206.0
46,2017-01-02 22:30:00,58.125,71.65625
47,2017-01-02 23:30:00,0.23962402,0.2911377
48,2017-01-03 00:30:00,0.0,0.0
49,2017-01-03 01:30:00,0.0,0.0
50,2017-01-03 02:30:00,0.0,0.0
51,2017-01-03 03:30:00,0.0,0.0
52,2017-01-03 04:30:00,0.0,0.0
53,2017-01-03 05:30:00,0.0,0.0
54,2017-01-03 06:30:00,0.0,0.0
55,2017-01-03 07:30:00,0.0,0.0
56,2017-01-03 08:30:00,0.0,0.0
57,2017-01-03 09:30:00,5.8964844,7.4570312
58,2017-01-03 10:30:00,124.78125,154.125
59,2017-01-03 11:30:00,336.5,401.625
60,2017-01-03 12:30:00,548.75,639.75
61,2017-01-03 13:30:00,715.75,822.0
62,2017-01-03 14:30:00,820.25,933.25
63,2017-01-03 15:30:00,817.25,930.75
64,2017-01-03 16:30:00,756.0,866.5
65,2017-01-03 17:30:00,615.0,707.25
66,2017-01-03 18:30:00,499.5,574.0
67,2017-01-03 19:30:00,366.5,423.0
68,2017-01-03 20:30:00,238.1875,276.75
69,2017-01-03 21:30:00,144.625,169.9375
70,2017-01-03 22:30:00,36.859375,43.796875
71,2017-01-03 23:30:00,0.21325684,0.2532959
